1M6Hr2GNdPomoy4YR668dYFfipY9iJh1jr -> totalcnt: 41, realcnt: 13, vericnt: 13, maxBias: 1, maxCnt: 0, rfound: False
1FLBqft1KV3oUMDFtrAUoxuFuTZ6KZnPk6 -> totalcnt: 89, realcnt: 18, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
1AYYoKAjrvhwSi4KaCsDM4a2prom3Zpjtg -> totalcnt: 67, realcnt: 13, vericnt: 13, maxBias: 1, maxCnt: 0, rfound: False
131JNpZR9r1nJcyj8yYAGWyZogtvpaG5LE -> totalcnt: 217, realcnt: 65, vericnt: 65, maxBias: 1, maxCnt: 0, rfound: False
1KaW2Fe3hjx3G5M21oiZJzThqfR5pkvp4X -> totalcnt: 414, realcnt: 104, vericnt: 102, maxBias: 17, maxCnt: 2, rfound: False
1GCFQZm2o3fQZQuEqRxEavEnmWqRYDQoDe -> totalcnt: 396, realcnt: 102, vericnt: 102, maxBias: 9, maxCnt: 1, rfound: False
1Lkb2mEoZRzCPJjZk9gBvirf8v4Z4Ge7ir -> totalcnt: 115, realcnt: 28, vericnt: 27, maxBias: 9, maxCnt: 1, rfound: False
14j73fVVomPRpfzxb9DmYQQy7sFZj626a8 -> totalcnt: 1007, realcnt: 238, vericnt: 232, maxBias: 9, maxCnt: 3, rfound: False
1A4hhFeAauQZsQeDsSzR8MeTYd7omsDYGM -> totalcnt: 44, realcnt: 12, vericnt: 11, maxBias: 9, maxCnt: 1, rfound: False
1FkgbiY4TX3JkXeJ5fdStEpNJXAhTt7ABG -> totalcnt: 444, realcnt: 123, vericnt: 123, maxBias: 9, maxCnt: 2, rfound: False
1P49XcagqnfMfWRY9z1Vmtg7Da5g4ugcd4 -> totalcnt: 68, realcnt: 10, vericnt: 10, maxBias: 1, maxCnt: 0, rfound: False
18Tt8A8tygSJPtps3M67FqvJ7tkoZhKUvc -> totalcnt: 77, realcnt: 17, vericnt: 17, maxBias: 9, maxCnt: 1, rfound: False
17DJV8uNcdQMQx6wnXDEsaaTrB6FGTUZBM -> totalcnt: 166, realcnt: 43, vericnt: 43, maxBias: 9, maxCnt: 1, rfound: False
1MoYETP8cPQjoLDTof9DeCoXx3NtFznuNN -> totalcnt: 401, realcnt: 78, vericnt: 78, maxBias: 9, maxCnt: 1, rfound: False
1HrJ59dFvRX5qFMRzvNnPthRnawmSMzwsd -> totalcnt: 104, realcnt: 30, vericnt: 30, maxBias: 1, maxCnt: 0, rfound: False
