17niDU3j3bebgf6BMa2cTPg8bA764ZXMXP -> totalcnt: 7, realcnt: 3, vericnt: 3, maxBias: 1, maxCnt: 0, rfound: False
1FBGGbJG7ZYx1jEJpo9TYjf4vpJ2ibvKPV -> totalcnt: 38, realcnt: 6, vericnt: 5, maxBias: 1, maxCnt: 0, rfound: False
1GbsCKrtNPt9LmtCZ7VApnKhTXx5uNwLdA -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
12KjyrdtVQkEihGpWcb7WUw9JHGjq3D2Mt -> totalcnt: 22, realcnt: 5, vericnt: 5, maxBias: 1, maxCnt: 0, rfound: False
15S1TFTosxrgZxkqJR2n1AFJ22ZJE2rTCk -> totalcnt: 1076, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
15ZV6KuHbkoX8BWWi61FP2ngry7Y7K6HJS -> totalcnt: 34, realcnt: 34, vericnt: 34, maxBias: 1, maxCnt: 0, rfound: False
1DhKfvdBj5ofay666izM869akgFe6WLf21 -> totalcnt: 35, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1CJsnQAhrwBeVZzaa1CES627NpWeA6nSp6 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
139zswpgwYzrShLPRPidKoB1weskDP9VQh -> totalcnt: 45, realcnt: 3, vericnt: 3, maxBias: 1, maxCnt: 0, rfound: False
1KV9diiAQaSKuNzjgoCZyGHSZjY9faj7Lw -> totalcnt: 90, realcnt: 15, vericnt: 15, maxBias: 1, maxCnt: 0, rfound: False
17XvU95PkpDqXAr8ieNpYzSdRDRJL55UQ8 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1CMEdVXok2ULLJ3qksWB5PKXK1Nc8zwvQc -> totalcnt: 156, realcnt: 33, vericnt: 32, maxBias: 1, maxCnt: 0, rfound: False
1EqqhaYoVFPQVjMc3eqEdGyaSdzKUSyAyG -> totalcnt: 17, realcnt: 4, vericnt: 4, maxBias: 1, maxCnt: 0, rfound: False
19angk8e9aNiumd2uFB5QjzP61QfuWDKHT -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
19n1T6B1kMuwi4kRrkYFcVPk7YNSgWnsHo -> totalcnt: 185, realcnt: 47, vericnt: 47, maxBias: 1, maxCnt: 0, rfound: False
1K21XUdVNjoGn2XDQZ8FdywU8nSHXDWkJz -> totalcnt: 78, realcnt: 14, vericnt: 14, maxBias: 1, maxCnt: 0, rfound: False
1KKncRVHVjmDKH3R77xwU1wERcXVhnSr9N -> totalcnt: 171, realcnt: 46, vericnt: 46, maxBias: 1, maxCnt: 0, rfound: False
18Gs5KMhhzyZB31Xpn4Qf2493298j9s7qp -> totalcnt: 41, realcnt: 4, vericnt: 4, maxBias: 1, maxCnt: 0, rfound: False
184yd7C6WtaqDMgbyDMd4e729gEbpe2wm8 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1HYgj3ryarrmoCPqrRGwHDMTaLS67HXtDL -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1DG5oEagqGASjwjUrsRvp2E9RiRGi44n4D -> totalcnt: 28, realcnt: 8, vericnt: 8, maxBias: 1, maxCnt: 0, rfound: False
1BJiBohaKY5uoKK1ofAtdPCddELVRxAv6L -> totalcnt: 32, realcnt: 5, vericnt: 5, maxBias: 1, maxCnt: 0, rfound: False
1Et8k4Sa8XycKi4Vh6TLFGnu5pCVpAh7g6 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1JfzVxMddF91a4oqhZYsSZ4tmpRXfWvKeY -> totalcnt: 45, realcnt: 45, vericnt: 45, maxBias: 1, maxCnt: 0, rfound: False
1GRRAkZpjde5gKxvNDvi31JZ61CbWEAZgA -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
18cSvkG8a9RdW1yhTHRbEKm1euBhy32SPv -> totalcnt: 160, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
14NDg5HBfJZxqg52utcC5pBGdQoj4ZwKVb -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1DiPw4cUyayknjF8JbToQmaGrekYLoHTdx -> totalcnt: 38, realcnt: 1, vericnt: 1, maxBias: 1, maxCnt: 0, rfound: False
1EKNW9tir5rKMgmoH6YMA9V6TS2urYoqZB -> totalcnt: 1, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
18RcjGgoVMgx3GbugrQNMaLFjvtXQjaGcU -> totalcnt: 78, realcnt: 24, vericnt: 24, maxBias: 1, maxCnt: 0, rfound: False
1JQ6KwidNChxeecDFcL6f3W9CSBusv8zUV -> totalcnt: 43, realcnt: 6, vericnt: 6, maxBias: 1, maxCnt: 0, rfound: False
14GbskZC4j5wogsKqZgnVSXpekuV5GrMd9 -> totalcnt: 47, realcnt: 4, vericnt: 4, maxBias: 1, maxCnt: 0, rfound: False
1Mn2M2uwfyxppVQ5isWjeJc1fHaXKuJ7t2 -> totalcnt: 73, realcnt: 17, vericnt: 17, maxBias: 1, maxCnt: 0, rfound: False
18y11JZji2N4KbpRjt7qyxdTEWxgbULFPa -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1DYjamT3t9CLyYVPsRQdcVrsoUcSGV67mG -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
16M5i7Dg7VWxHXFveFa9FF4dnV83p4eHJE -> totalcnt: 333, realcnt: 82, vericnt: 82, maxBias: 9, maxCnt: 3, rfound: False
1Jn67ECnHXVRiWemL2TWmeF3DxVwMHw1mc -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
